title,text,subject,date
"U.S. lawmakers question Pompeo over Saudi crown prince","WASHINGTON (Reuters) - U.S. lawmakers on Wednesday pressed Secretary of State Mike Pompeo to explain why the Trump administration has determined that Saudi Arabia’s Crown Prince Mohammed bin Salman was not responsible for the murder of Saudi journalist Jamal Khashoggi.","politicsNews","December 13, 2018"
"Trump urges Republicans to drop plan to avert shutdown","WASHINGTON (Reuters) - President Donald Trump on Friday urged fellow Republicans in Congress to abandon a plan to avert a government shutdown next week and demanded they fund his long-promised wall on the U.S. border with Mexico.","politicsNews","December 22, 2018"
"Turkey slams U.S. remarks on Khashoggi killing as attempt to whitewash crime","ISTANBUL (Reuters) - Turkey on Saturday dismissed remarks by U.S. Secretary of State Mike Pompeo about the investigation into the killing of Saudi journalist Jamal Khashoggi as an attempt to whitewash the crime.","worldNews","December 15, 2018"
"Taiwan says China’s ‘bullying’ behavior will backfire","TAIPEI (Reuters) - China’s “bullying” behavior towards Taiwan, including pressuring international firms to refer to the island as part of China, will backfire, Taiwan’s foreign ministry said on Friday.","worldNews","December 14, 2018"
"Explainer: How could the Senate deal with Saudi Arabia after Khashoggi case?","WASHINGTON (Reuters) - The U.S. Senate is expected to vote next week on a resolution condemning Saudi Arabia’s Crown Prince Mohammed bin Salman for the murder of journalist Jamal Khashoggi, and on several measures putting pressure on the kingdom to end the war in Yemen.","politicsNews","December 13, 2018"
"Senate panel weighs next steps on Saudi Arabia after Khashoggi murder","WASHINGTON (Reuters) - A U.S. Senate committee will consider this week what steps to take in response to the murder of Saudi journalist Jamal Khashoggi, as pressure builds in Congress for a tougher stance against Saudi Arabia and its crown prince.","politicsNews","December 10, 2018"
"Questions mount over Trump's Russia dealings","WASHINGTON (Reuters) - U.S. President Donald Trump’s former personal lawyer Michael Cohen has said he lied to Congress about a proposed Trump Organization skyscraper in Moscow, and that Trump knew about it all along.","politicsNews","November 30, 2018"
"Trump says he will nominate Barr for attorney general, Nauert for U.N. envoy","WASHINGTON (Reuters) - U.S. President Donald Trump said on Friday he would nominate William Barr, who served as attorney general under President George H.W. Bush, to reprise the role in his administration.","politicsNews","December 7, 2018"
"White House backs Senate effort to end Yemen war, despite differences","WASHINGTON (Reuters) - The White House is “fully on board” with a Senate effort to pass a resolution calling for an end to U.S. military support for the war in Yemen, even as administration officials seek to ease the measure’s language, a top aide to Vice President Mike Pence told Reuters on Friday.","politicsNews","November 30, 2018"
"After Pompeo briefing, key senators say more warranted on Khashoggi killing","WASHINGTON (Reuters) - Key U.S. senators said on Wednesday they were more convinced than ever that Saudi Arabia’s Crown Prince Mohammed bin Salman was involved in the murder of journalist Jamal Khashoggi, after hearing a classified briefing from Secretary of State Mike Pompeo.","politicsNews","December 5, 2018"
"Top Republican senator says Trump should have firmer line on Russia","WASHINGTON (Reuters) - A top Republican U.S. senator said on Sunday that President Donald Trump needs to adopt a firmer line against Russia, and said the United States should be taking stronger steps to deter Russian aggression.","politicsNews","December 9, 2018"
"New evidence suggests collusion between Manafort and Russian: The Guardian","WASHINGTON (Reuters) - A new report in the Guardian newspaper suggests there was collusion between President Donald Trump’s former campaign manager Paul Manafort and the Russian government, U.S. Representative Adam Schiff said on Saturday.","politicsNews","December 1, 2018"
